Date,High,Low,Open,Volume From,Volume To,Close,Currency Pair
20/08/2021,49377.5,46652.0,46761.49,36326.2,"1,742,574,002.38",49336.45,BTC/USD
21/08/2021,49809.82,48330.03,49336.45,22928.52,"1,125,508,731.91",48867.87,BTC/USD
22/08/2021,49512.19,48119.98,48867.87,16835.81,"822,323,898.98",49289.71,BTC/USD
23/08/2021,50513.83,49048.25,49289.71,30374.33,"1,515,250,474.77",49521.06,BTC/USD
24/08/2021,49859.97,47580.66,49521.06,28718.08,"1,399,185,980.56",47690.54,BTC/USD
25/08/2021,49257.74,47135.07,47690.54,25061.09,"1,208,134,772.96",48996.44,BTC/USD
26/08/2021,49358.2,46456.68,48996.44,34276.36,"1,618,461,768.41",46852.22,BTC/USD
27/08/2021,49166.31,46376.81,46852.22,27872.76,"1,331,637,984.84",49088.1,BTC/USD
28/08/2021,49306.47,48386.9,49088.1,12815.36,"626,553,869.30",48918.9,BTC/USD
29/08/2021,49653.49,47841.49,48918.9,18983.79,"924,625,515.76",48794.26,BTC/USD
30/08/2021,48878.11,46872.47,48794.26,29046.26,"1,392,617,744.31",46993.31,BTC/USD
31/08/2021,48252.74,46713.72,46993.31,29947.56,"1,418,199,668.83",47159.26,BTC/USD
01/09/2021,49062.05,46544.74,47159.26,31823.8,"1,520,961,266.36",48840.01,BTC/USD
02/09/2021,50374.89,48632.7,48840.01,32516.15,"1,615,790,894.94",49280.77,BTC/USD
03/09/2021,51056.15,48362.56,49280.77,38496.86,"1,926,045,807.12",50019.51,BTC/USD
04/09/2021,50549.35,49501.12,50019.51,16795.12,"839,888,927.54",49935.29,BTC/USD
05/09/2021,51890.18,49499.28,49935.29,21382.07,"1,084,416,553.08",51784.16,BTC/USD
06/09/2021,52766.16,51035.68,51784.16,25623.3,"1,328,373,298.00",52693.32,BTC/USD
07/09/2021,52919.24,43904.42,52693.32,83874.09,"4,055,873,734.71",46856.31,BTC/USD
08/09/2021,47362.35,44475.76,46856.31,45638.83,"2,105,187,289.07",46073.45,BTC/USD
09/09/2021,47335.29,45572.3,46073.45,32273.7,"1,499,767,099.51",46392.85,BTC/USD
10/09/2021,47026.67,44198.27,46392.85,35701.24,"1,631,276,774.64",44853.1,BTC/USD
11/09/2021,45987.63,44741.98,44853.1,14599.26,"662,298,068.85",45166.12,BTC/USD
12/09/2021,46403.5,44765.82,45166.12,16366.41,"747,181,260.09",46049.72,BTC/USD
13/09/2021,46821.84,43511.3,46049.72,42623.67,"1,909,473,369.72",44958.56,BTC/USD
14/09/2021,47263.56,44776.37,44958.56,26751.25,"1,237,183,544.60",47129.01,BTC/USD
